k,n,p,num_indices,presolve,add_basis_pursuit_valid_inequalities,add_Shor_valid_inequalities,nrow,proportion_presolved,solve_time_relaxation_mean,solve_time_relaxation_geomean,time_taken_mean,time_taken_geomean,true_optimality_gap_mean,true_optimality_gap_geomean
1,20,2.0,53,true,false,false,20,0.6,0.10308797359466552,0.0,0.10892481803894043,0.01338617442682032,1.475658991258871e-7,0.0
1,20,2.0,53,true,true,false,20,0.6,0.11049399375915528,0.0,0.12037147283554077,0.013348049429450708,1.4747036721035798e-7,0.0
1,20,2.0,53,true,true,true,20,0.6,3.803956174850464,0.0,4.717703998088837,0.08450605247040516,1.4811999652883543e-7,0.0
1,20,2.5,66,false,false,false,20,0.0,0.12205698490142822,0.12060076489402254,0.1300228238105774,0.12852841571642193,0.3574429250649438,0.26260113285747444
1,20,2.5,66,true,false,false,20,0.95,0.015119349956512452,0.0,0.017227208614349364,0.002171711904764831,2.7144871364363425e-10,0.0
1,20,2.5,66,true,true,false,20,0.95,0.014272546768188477,0.0,0.04655073881149292,0.002151852194423916,2.7140772731961466e-10,0.0
1,20,2.5,66,true,true,true,20,0.95,0.015997397899627685,0.0,0.18694539070129396,0.007674315553421895,2.998753098782048e-10,0.0
1,20,3.0,79,false,false,false,20,0.0,0.12504581212997437,0.12378813859467117,0.13344409465789794,0.1321149351200367,0.22445288997538276,0.14300242174898756
1,20,3.0,79,true,false,false,20,1.0,0.0,0.0,0.0016952157020568848,0.001667455685749717,0.0,0.0
1,20,3.0,79,true,true,false,20,1.0,0.0,0.0,0.0018013477325439452,0.0017703424490760492,0.0,0.0
1,20,3.0,79,true,true,true,17,1.0,0.0,0.0,0.04624647252699908,0.008012575132684755,0.0,0.0
1,30,2.0,89,false,false,false,20,0.0,0.6875615119934082,0.6829218704224677,0.7047572374343872,0.7006499337323724,0.35911360362637873,0.31946319447452975
1,30,2.0,89,true,false,false,20,0.75,0.4175384998321533,0.0,0.42540267705917356,0.013628477731662939,2.137723119710058e-8,0.0
1,30,2.0,89,true,true,false,20,0.75,0.3774420380592346,0.0,0.3928956866264343,0.020128653180740242,2.137099889676667e-8,0.0
1,30,2.0,89,true,true,true,19,0.7368421052631579,0.48983950363962275,0.0,0.9852022120827123,0.050735729543818574,1.934879097860871e-8,0.0
1,30,2.5,111,false,false,false,20,0.0,0.6577362060546875,0.6543607002216096,0.6718505382537842,0.6685779427034284,0.28026139237122616,0.2299243542558635
1,30,2.5,111,true,false,false,20,0.95,0.07513699531555176,0.0,0.07949144840240478,0.004409681183545096,1.1429303337339212e-8,0.0
1,30,2.5,111,true,true,false,20,0.95,0.07727195024490356,0.0,0.08132942914962768,0.004145796949015026,1.1429348034629985e-8,0.0
1,30,2.5,111,true,true,true,20,0.95,0.08097525835037231,0.0,0.2515792727470398,0.010987521353341778,1.1427698800203855e-8,0.0
1,30,3.0,133,false,false,false,20,0.0,0.6943390011787415,0.6906767149070305,0.7104410409927369,0.7071145014811566,0.18256460362745436,0.1572523943717813
1,30,3.0,133,true,false,false,20,1.0,0.0,0.0,0.0025953054428100586,0.002499072497836069,0.0,0.0
1,30,3.0,133,true,true,false,20,1.0,0.0,0.0,0.003219282627105713,0.003138933427135438,0.0,0.0
1,30,3.0,133,true,true,true,19,1.0,0.0,0.0,0.05222660616824502,0.013366614780878904,0.0,0.0
1,40,2.0,129,false,false,false,19,0.0,2.436584083657516,2.4240421268880157,2.4611652273880806,2.448809152453219,0.2974422968904664,0.2677623422563536
1,40,2.0,129,true,false,false,19,0.8947368421052632,0.6746058965984144,0.0,0.6847202526895624,0.01277565281141808,1.1190845563936713e-8,0.0
1,40,2.0,129,true,true,false,19,0.8947368421052632,0.636119478627255,0.0,0.648817965858861,0.013482472997321849,1.1190276782309497e-8,0.0
1,40,2.0,129,true,true,true,19,0.8947368421052632,0.7185275303690057,0.0,1.015287110680028,0.0338697242835435,9.915246178922535e-9,0.0
1,40,2.5,161,false,false,false,20,0.0,2.570448410511017,2.560169617670445,2.5970614552497864,2.5859676718740134,0.19904675904216684,0.18863798942166482
1,40,2.5,161,true,false,false,20,0.95,0.33899990320205686,0.0,0.34700278043746946,0.0087133434983347,5.0075278961641105e-9,0.0
1,40,2.5,161,true,true,false,20,0.95,0.28770195245742797,0.0,0.294866144657135,0.008463915864546145,5.007148765839614e-9,0.0
1,40,2.5,161,true,true,true,20,0.95,0.35006104707717894,0.0,0.5770664215087891,0.01551709306748842,4.99058738312564e-9,0.0
