n,p,num_indices,nrow,nodes_explored_mean,solve_time_relaxation_mean,time_taken_geomean,relative_gap_root_node_geomean,relative_gap_geomean,MSE_all_initial_geomean,MSE_all_geomean,MSE_isvd_geomean,MSE_mf_geomean,k,MSE_ratio,MSE_difference,MSE_mf_ratio,MSE_mf_difference,MSE_isvd_ratio,MSE_isvd_difference
30,2.5,111,50,4402.86,0.7188740642703939,3600.451013847089,0.05381884061885654,0.027242838043324225,0.14857454609365717,0.1375752348189616,0.11385769942650631,1.3084874368810353,1,0.07995124478013649,0.010999311274695556,8.511068170102735,1.1709122020620737,-0.1723968374370994,-0.023717535392455302
30,2.5,139,50,5170.34,0.594915454216951,3600.3147676884873,0.051160266928311306,0.01863180761014612,0.1048078988313296,0.09285768666075699,0.07306793711620485,1.2031124201382053,1,0.1286938389304388,0.011950212170572613,11.95651941592745,1.1102547334774484,-0.21311913161105672,-0.019789749544552135
30,3.0,90,50,4614.24,0.6674627778766203,3600.38944610501,0.0729173245962977,0.03474494932473174,0.244217768928308,0.2153655686555642,0.1973880041300938,1.3177420038013574,1,0.1339684911235154,0.028852200272743794,5.118628952749789,1.1023764351457932,-0.08347464563484634,-0.01797756452547039
30,3.0,133,50,4471.38,0.713539900810693,3600.436490135979,0.05515996740005121,0.020696626302051303,0.1116698354620999,0.10020312789209374,0.07911064785126898,1.1980819461811536,1,0.11443462705430087,0.01146670757000616,10.95653240956049,1.0978788182890598,-0.21049722183861092,-0.021092480040824757
30,3.0,166,50,4934.68,0.6268314087377784,3486.8647933137845,0.054223479808147866,0.011998425979899833,0.07031661704975292,0.05991707928040002,0.0458401636718379,1.069514612702805,1,0.17356549909058705,0.010399537769352901,16.849912337977777,1.009597533422405,-0.23493994997127535,-0.01407691560856212
40,2.0,80,50,1678.52,1.972926179910165,3601.119512471164,0.3270197588934237,0.07520854487313962,0.6858373032895062,0.7063422120243765,0.6624795035601947,1.491392089668682,1,-0.02902970880942151,-0.02050490873487032,1.1114299333666509,0.7850498776443056,-0.06209838194219106,-0.04386270846418183
40,2.0,129,50,1646.48,2.028381102321152,3601.062252574251,0.04329495776541734,0.0242584495283109,0.2467847581907754,0.2319727989085951,0.1859258631194054,1.3626707229589665,1,0.06385213849153362,0.014811959282180293,4.874269437495141,1.1306979240503714,-0.19850144502215408,-0.0460469357891897
40,2.0,170,50,1879.48,1.7384531906993754,3601.001985598414,0.04484290721061131,0.017328973173388006,0.13866937136699498,0.12984959322320266,0.09689583950559576,1.3056823581020023,1,0.06792303252449709,0.008819778143792312,9.05534423090277,1.1758327648787996,-0.25378403504862457,-0.03295375371760691
40,2.5,100,50,1692.02,1.9556963242606116,3600.977876524034,0.07541847983207377,0.028082535778162335,0.40064782809091287,0.38206997086679056,0.3532299705438123,1.4463878033775175,1,0.04862422760410949,0.018577857224122307,2.7856620872248645,1.064317832510727,-0.07548355673582473,-0.028840000322978288
40,2.5,161,50,1602.32,2.106932167754783,3601.1690219993257,0.04814809693250253,0.017518994741032405,0.15306740660921586,0.142086404465179,0.110481922136599,1.2788979189033691,1,0.0772839750950835,0.010981002144036855,8.000846518125437,1.13681151443819,-0.22243143140641075,-0.03160448232858
